name,text
Ivon,이런.. 썬글라스가 깨박살이 나버렸어..
Ivon,병신같이 주머니에 넣어놓고 노느냐고..
Ivon,ㅜㅜ 돌체앤가바나 새로 산건데..
Coco,no
Ivon,A/S가 되겠지..?
Ivon,힝.. 일단 집에 가자 코코야!
Ivon,자! 차에 타자!
Coco,Mung
null,9
Ivon,이런.. 썬글라스가 깨박살이 나버렸어..
Ivon,병신같이 주머니에 넣어놓고 노느냐고..
Ivon,ㅜㅜ 돌체앤가바나 새로 산건데..
Coco,!
Ivon,A/S가 되겠지..?
Ivon,힝.. 일단 집에 가자 코코야!
Ivon,자! 차에 타자!
Coco,!
Ivon,응? 왜 그래, 코코야?
Coco,!
null,18
Ivon,테이프..? 어머 코코야 이거 어디서 난거야?
Ivon,아유 똑똑해라! 선글라스 고치라고 준거니?
Ivon,가끔 보면 정말 사람처럼 똑똑하다니까.. 소오름..
Coco,Heart
Ivon,헤헤 선글라스를 차고 갈 수 있겠다.
Ivon,자 어서 차에 타자!
Coco,!
null,20
