name,text
Coco,?
Star,뭐가 쓰러졌나? 별 일 아니겠지 뭐! 돌아가자!
null,10
Racoon,!
Coco,Bark
Star,너구리..? 너구리인가?
Coco,Bark
Racoon,너구리라니 임마!! 난 도를 터득한 도사 너굴맨이다!
Racoon,일반적인 너구리와는 달라!
Star,너구리가 왜 우리집을 어지르고 있어!
Star,화분은 왜 망가뜨린거야!
Coco,Bark
Racoon,너구리 아니라고!!
Racoon,이 바질은 원래 내꺼야 임마!
Racoon,저 멍멍이가 훔쳐갔다고!
Star,코코가…? 코코야 훔친거야 정말?
Coco,Bark
Star,그냥 바질이 있길래 가져온 거라 잖아!
Racoon,으아아!! 그게 훔친 거야!!
Racoon,후… 진정하자… 저런 바보들에게 휘둘리지 말자…
Racoon,도사 체면이 말이 아니군
Star,야 너구리! 바질은 코코가 모르고 가져왔다 치고!
Star,화분은 왜 들고 있어! 내려놔 어서!
Racoon,내게 명령하지마! 너구리 아니라 너굴맨이야!!
Racoon,후… 내 바질을 훔쳐간 대가로 화분도 가져간다.
Coco,Bark
Star,그게 무슨 소리야! 화분 내려놔 어서!
Racoon,무슨 소리긴! 벌을 받아야지 임마!
Racoon,여기까지 오느라 고생한 내 수고료이기도 하지.
Star,좋게 말할 때 화분 놓고 가라
Racoon,좋게 말 안하면 어쩌려고? 미개한 놈들이 쯧쯧.
Coco,Bark
Star,미… 미개..? 이 자식이 말로 하니까 안 통하네. 코코야 본떼를 보여줘!
Coco,Bark
Racoon,핫핫 미개한 멍청이들. 잘 있어라. 나는 간다!
null,17
