name,text
Ivon,코코야 어서 자야지!! 이리와 얼른!
null,4
Ivon,자! 어서 누워야지 뭐해!
null,5
Ivon,코코!! 누가 그렇게 쿠션을 차버리래!
Ivon,어서 자야지! 누나도 너무 피곤해 어서 자자.
Ivon,착하지! 하이 피곤하다.
Ivon,오늘 자고 내일 놀자~ 안녕~!
null,52
Star,...
Coco,(...)
Star,쿠션 다시 가져와..
null,6
Star,주인님이 많이 피곤하신가봐!
Star,어서 우리도 자자!
Star,아 주인님이 잠들면 자야지!
Star,주인님이 주무시나 가볼까?
Coco,Ivon
null,8
Coco,(...)
Star,주.. 주인님이 남친을 정말 사랑하나봐!
Coco,(...)
Star,자자! 이제 그만 자러 가자!
Star,침대로 꼬우꼬우!
null,10
Coco,(...)
Coco,Sleep
null,53
Coco,!
Star,흐아암 졸려.. 문 여는 소리 같은데? 주인님인가?
Coco,!
Star,그래.. 가보자~
null,12
Ivon,코코야! 나 나갔다 올게! 간식도 꺼내놨어!
Star,우왕! 간식이다 간식! 오늘은 엄청 많이 주셨네!
Coco,(...)
Star,에이~ 힘내!! 간식 먹자! 맛있겠다~
null,13
Star,간식 먹어 코코야!
null,54
Star,...
Star,왜 안 먹어 코코야..
Star,..거실에 가서 공놀이라도 할까 우리??
Coco,Mung
Star,거실로 꼬우꼬우!
null,15
