name,text
Star,응..? 여긴 공원..?
Coco,?
Star,장난감은 집에 있을 것 같은데..?
Star,한 번 찾아볼까?
Coco,!
null,36
Coco,!
null,37
Star,응..?! 너굴맨이다!!
null,39
Racoon,호오.. 너희는?
Star,그래 이 자식아!! 너 저번에 그 때 그..!!!
Coco,!
Star,응?
Racoon,뭘 달라고?
Coco,!
Racoon,부적..? 어떤… 아..! 귀환부적을 달라는 말이냐..?
Coco,!
Star,그건 뭐에 쓰려고??
Star,게다가 이 자식은 주인님의 화분을 깨뜨린 놈이야!!
Star,믿을 만한 녀석이 못된다고!!
Coco,no
Star,아.. 알겠어.. 가만히 있을게..
Racoon,흥 부적이야 많다만 너희에게 줄 순 없어.
Racoon,나도 너네한테 쌓인 감정이 많다고
Coco,!
Racoon,그 놈의 화분 내가 깨뜨린지가 언젠데?
Racoon,됐어. 필요 없으니 어서 돌아가!
Coco,!
Racoon,기다려 보라고..? 기다리면 깨진 화분이 나오나!
Racoon,뭐 다른거라도 가져다 주려고 하나 본데
Racoon,난 그 화분 아니면 안 된다.
Star,아니 그러면 깨뜨리긴 왜 깨뜨린거야..?
Racoon,가질 수 없으면 부숴버리는 게 나의 방식이지..
Star,…
Coco,!
Star,응? 일기장을 달라고?
null,40
Racoon,부적은 줄 수 없어!! 자! 썩 돌아가라!
Racoon,나 좀 쉬고 싶다 이제
Star,얌마! 기다려봐! 화분을 가져왔어!
Racoon,깨진 화분이 아니면 안된다고!!
Racoon,썩 돌아가 제발!
Racoon,이 정신병자 같은 새끼들아!
null,46
Racoon,어..? 이 화분..? 분명히 내가 깨뜨렸는데...
Coco,!
Star,하하! 이제 부적을 내놓아라!!
Racoon,...
Star,임마! 갑자기 가져다 주니까 할 말을 잃었냐!
Star,어서 부적을 내놓아라! 내놓아라!
Coco,!
Racoon,... 허어.. 알겠다.. 알겠어.. 부적을 주겠어..
Racoon,이게 쓸모가 있을지 모르겠지만 주겠네..
Racoon,화분은 받지 않겠어.. 그냥 부적만 줄테니 가져가게나..
Coco,?
Star,뭐.. 뭐야.. 갑자기 말을 왜 저렇게 해?
Coco,!
Star,야 그냥 화분은 가져 부적만 받으면 됐어.
Racoon,...
Star,아 빨리 부적이나 달라니깐!
Racoon,알겠네.. 쓸모가 있을지 모르겠네만..
Racoon,필요하다고 하니 한 장 주겠네..
null,47
Coco,!
Star,아싸! 이걸로 주인님이랑 이제 집에 가면 되는거지?
Coco,!
Coco,Heart
Racoon,...
null,49
