name,text
Star,코코야 별일 없을 거라니까 왜 자꾸 그래
Coco,(…)
Star,죽긴 누가 죽어 이 바보야!!
Star,남자친구 만나러 가셨다니까!
Coco,Ivon
Star,응 주인님이 한동안 일만 하셨잖아
Star,오래 걸릴 것 같다고 하셨잖아!
Coco,no
Star,널 버리긴 왜 버려 이 바보야!
Star,그냥 놀다가 오신다니까 참나
Star,돌아오시면 또 재미있게 놀아주실거야
Coco,!
null,0
Star,주인님이 오셨구나!
null,0
Ivon,코코!!
null,2
Ivon,코코~!
null,3
Ivon,코코~!
null,51
Star,자! 해보자 코코야!
Star,자! 자! 시무룩해 하지 말고!
Coco,Mung
Star,날 테이블 위에 놔줘!
Star,응 저기 화분 있는 테이블!
Star,공 던지기 하고 놀자! 공도 가져오고!
Coco,Mung
null,16
Star,미..미안...
Coco,(...)
null,55
Star,이게 무슨 일이야!!
Star,화분을 깬 거야..?
Coco,XoX
Star,어떻게 하지..? 어쩌지..? 어쩌지 으아아악
Star,마..망했어..!! 망했어!!!
Star,큰일이야..! 코코가 쫓겨나겠어!!
null,58
Star,도움이 될 만한 물건이 나올지도 몰라!
Star,계속 흔들어봐!
null,59
Star,이런 씨바아아알! 똥이라니!
Coco,XoX
null,60
Star,화분도 깨고.. 바닥에 똥까지..
Star,이를.. 이를 어째..
null,61
Star,코코야.. 방법이 있을거야..
Star,똥이야 그렇다 쳐도 화분은 정말..
Star,코코야?
Coco,Mung
Star,응..? 화분을 새로 구해 온다고?
Star,밖에서? 밖 어디서!!
Coco,Mung
null,24
Coco,(...)
null,82
Ivon,코코야~ 목욕해서 개운하지~
Ivon,응? 뭘 그렇게 보고 있어~?
Coco,Mung
Ivon,남자친구가 새로 만들어 준 화분이야.
Ivon,맘에 드니?
Coco,Heart
Ivon,하하! 짜식 기억도 못할 것 같은데
Ivon,우리 공놀이 조금만 할까?
Coco,Mung
null,50
