name,text
Star,하아.. 달밤에 도대체 어디로 가려고..
Star,그렇게 겁먹을 거면 나오지나 말던지..
Coco,XoX
Star,뭐..?
Star,이 상황에서 똥이 마렵다고?
Star,이런 대로변에 똥을 싸려고..?
Coco,Mung
Star,하.. 너무하다 정말..
Star,일단 골목길이라도 찾아보자..
null,25
Coco,?
Star,음?
null,69
Star,원래 이랬나..?
Coco,?
Star,음 뭐 일단은 화분부터 찾아보자!
Star,쓰레기 더미라도 뒤져봐야 하나 정말로?
Coco,Mung
Star,그래..! 가보자!
null,32
Coco,Mung
Star,여기를..? 쓰레기 수거 통에 막혀서 못 들어가!
Coco,Mung
Star,아이 안 된다니까 그러네!
Star,다른 곳부터 가보자!
null,33
Coco,Mung
Star,오! 뭐야! 들어갈 수 있잖아..?
Star,언제 치운거지..? 이상하네..
Star,보도블럭도 미묘하게 바뀐 것 같고..
Coco,Mung
Star,아이 알겠어 빨리 가보자.
null,40
