name,text
Star,오..! 여긴 비교적 한적해..!
Star,어디에 싸는 게 좋으려나!
null,63
Coco,!
null,64
Star,하.. 그래 싸라 싸..
Star,달빛에 비춰진 네 똥을 봐야한다니..
Coco,!
null,65
Coco,Music
null,66
Star,...똥 덮을 수 있는 거 없나...
Coco,Bark
Star,저 신문지?
Coco,Bark
null,67
Star,음.. 그래 일단은 신문지로 가려만 놓자!
null,26
Star,야!야! 조심해..! 야야!!
null,68
Star,응? 뭐지?
Coco,?
Star,신문 뭉치 뒤에 가판이 있었나?
Star,신문들은 다 어디 갔지?
Coco,Bark
Star,그래! 똥이 우선이지!
null,29
Star,어..? 똥이 왜 없지..? 누가 먹었나?
Coco,소오름
Star,뭐! 어찌되었든 다행이야!
Star,어서 빨리 화분을 찾으러 가보자!
null,31
Coco,Bark
Star,오! 여기 뭔가 좀 있겠는걸? 가보자!
null,35
Star,후.. 화분은 결국 못 찾았네..
Coco,Bark
Star,그래 대신 소중한 걸 찾았으니까
Star,똥부터 가리자 일단
Coco,Music
null,79
Ivon,으악 똥이잖아! 뭐야 이건..?
null,80
Star,주인님이다..!
Coco,Ivon
Star,주인님이다!! 주인님!!
Star,아 화분이..!
Coco,Bark
Star,그래! 일단 가자! 보고싶었어요 주인님 ㅜㅜ
Coco,Bark
null,81
Ivon,코코야!! 어디 갔었어 코코야 ㅜㅜ
Ivon,이렇게 집을 나오면 어떻게 해!!
Ivon,엉엉 안 혼내킬게 미안해 ㅜㅜ
Ivon,어서 집으로 돌아가자 ㅜㅜ
Coco,Heart
Ivon,..근데 코코야 이 똥 네가 싼거니?
Coco,(...)
Ivon,얼른 치워야겠다..
null,49
